name	strain	id_psamm	id_cobra	mean	stderr	lb	ub	unit
Cellobiose	MW698	EX_C00185[e]	EX_C00185_LSQBKT_e_RSQBKT_	-17.95	0.01	-17.96	0	mM
Acetate	MW698	TP_ace	TP_ace	2.207	0.03	2.177	2.237	mM
Ethanol	MW698	TP_ETOH	TP_ETOH	8.065	0.17	7.895	8.235	mM
CO2	MW698	TP_CO2	TP_CO2	41.951	0.2	41.751	1000	mM
BDO	MW698	TP_C03044	TP_C03044	15.6868071036342	0.21	15.4768071036342	15.8968071036342	mM
Protein	MW698	pro_met	pro_met	0.0731190363	0.008136227402	0.064982808898	0.081255263702	g/L
Acetoin	MW698	TP_acetoin	TP_acetoin	0.153	0	0.153	0.153	mM
IAA	MW698	TP_iaa	TP_iaa	1.453	0.13	1.323	1.583	mM
Alanine	MW698	EX_ C00041[e]	EX_C00041_LSQBKT_e_RSQBKT_	5.922	0.1	5.822	6.022	mM
di-myo-inositol phosphate	MW698	sink_DIP	sink_DIP	0.003	0.00016272454804	0.00283727545196	0.00316272454804	mM
Mannosylglycerate	MW698	sink_MG	sink_MG	0.068	0.00341721550884	0.06458278449116	0.07141721550884	mM
Glucose	MW698	sink_glucose	sink_glucose	5.868	0.1	5.768	5.968	mM
H2	MW698	TP_H2	TP_H2	21.6	0.6739208771	20.9260791229	22.2739208771	mM
Cellobiose	MW697	EX_C00185[e]	EX_C00185_LSQBKT_e_RSQBKT_	-10.16	0.36	-10.52	0	mM
Acetate	MW697	TP_ace	TP_ace	5.718	0.41	5.308	6.128	mM
Ethanol	MW697	TP_ETOH	TP_ETOH	7.778	0.38	7.398	8.158	mM
CO2	MW697	TP_CO2	TP_CO2	15.308	0.79	14.518	1000	mM
BDO	MW697	TP_C03044	TP_C03044	0.906	0.12	0.786	1.026	mM
Protein	MW697	pro_met	pro_met	0.0927956887	0.00137469386	0.09142099484	0.09417038256	g/L
Acetoin	MW697	TP_acetoin	TP_acetoin	0	0	0	0	mM
IAA	MW697	TP_iaa	TP_iaa	1.526	0.13	1.396	1.656	mM
Alanine	MW697	EX_ C00041[e]	EX_C00041_LSQBKT_e_RSQBKT_	3.353	0.1	3.253	3.453	mM
di-myo-inositol phosphate	MW697	sink_DIP	sink_DIP	0.003	0.0000274938772	0.0029725061228	0.0030274938772	mM
Mannosylglycerate	MW697	sink_MG	sink_MG	0.057	0.0005773714212	0.0564226285788	0.0575773714212	mM
Glucose	MW697	sink_glucose	sink_glucose	5.02	0.1	4.92	5.12	mM
H2	MW697	TP_H2	TP_H2	19.7	0.1687507745	19.5312492255	19.8687507745	mM
Cellobiose	MW268	EX_C00185[e]	EX_C00185_LSQBKT_e_RSQBKT_	-20.14	0.4303262416	-20.5703262416	0	mM
Acetate	MW268	TP_ace	TP_ace	3.415	0.32	3.095	3.735	mM
Ethanol	MW268	TP_ETOH	TP_ETOH	3.186	0.8	2.386	3.986	mM
CO2	MW268	TP_CO2	TP_CO2	24.624	3.97	20.654	1000	mM
BDO	MW268	TP_C03044	TP_C03044	0	0	0	0	mM
Protein	MW268	pro_met	pro_met	0.06029148835	0.003354176218	0.056937312132	0.063645664568	g/L
Acetoin	MW268	TP_acetoin	TP_acetoin	9.011	2.85	6.161	11.861	mM
IAA	MW268	TP_iaa	TP_iaa	1.152	0.23	0.922	1.382	mM
Alanine	MW268	EX_ C00041[e]	EX_C00041_LSQBKT_e_RSQBKT_	6.648	0.1	6.548	6.748	mM
di-myo-inositol phosphate	MW268	sink_DIP	sink_DIP	0.002	0.00006708352436	0.00193291647564	0.00206708352436	mM
Mannosylglycerate	MW268	sink_MG	sink_MG	0.043	0.00140875401156	0.04159124598844	0.04440875401156	mM
Glucose	MW268	sink_glucose	sink_glucose	16.705	0.1	16.605	16.805	mM
H2	MW268	TP_H2	TP_H2	31.3	0.9017546858	30.3982453142	32.2017546858	mM
Cellobiose	COM1c	EX_C00185[e]	EX_C00185_LSQBKT_e_RSQBKT_	-9.25	0.348	-9.598	0	mM
Acetate	COM1c	TP_ace	TP_ace	8.17	0.253333333333333	7.91666666666667	16.0866666666667	mM
Ethanol	COM1c	TP_ETOH	TP_ETOH	2.067	0.45	1.617	3.684	mM
CO2	COM1c	TP_CO2	TP_CO2	13.505	1.65333333333333	11.8516666666667	1000	mM
BDO	COM1c	TP_C03044	TP_C03044	0	0	0	0	mM
Protein	COM1c	pro_met	pro_met	0.08325	0.00428836582666667	0.0789616341733333	0.162211634173333	g/L
Acetoin	COM1c	TP_acetoin	TP_acetoin	1.634	0.95	0.684	2.318	mM
IAA	COM1c	TP_iaa	TP_iaa	1.091	0.163333333333333	0.927666666666667	2.01866666666667	mM
Alanine	COM1c	EX_ C00041[e]	EX_C00041_LSQBKT_e_RSQBKT_	3.053	0.1	2.953	6.006	mM
di-myo-inositol phosphate	COM1c	sink_DIP	sink_DIP	0.001	8.57673165333333E-05	0.000914232683466667	0.00191423268346667	mM
Mannosylglycerate	COM1c	sink_MG	sink_MG	0.03	0.0018011136472	0.0281988863528	0.0581988863528	mM
Glucose	COM1c	sink_glucose	sink_glucose	7.65	0.1	7.55	15.2	mM
H2	COM1c	TP_H2	TP_H2	29.7	0.6314366424	29.0685633576	30.3314366424	mM
